OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,TRACK_ID
1,78.3026748,203.3137025,0,0
2,148,417,0,0
3,194,105,0,0
4,238.631068,467.464742,0,0
5,323,531,0,0
6,345.7346814,594.6911765,0,0
7,396,311,0,0
8,435.5,452,0,0
9,434,542,0,0
10,437,646.5,0,0
11,500,332,0,0
12,509.6656783,607.8554485,0,0
13,517,538,0,0
14,529.0163934,759.5193741,0,0
15,572,38,0,0
16,635.8982036,684.9086826,0,0
17,639,584,0,0
18,676,502,0,0
19,707,816,0,0
20,723,914,0,0
21,829,185,0,0
22,862.2652705,764.6387435,0,0
23,891.8786292,711.3465017,0,0
24,81.14414195,202.7912008,1,0
25,148,417,1,0
26,195,104,1,0
27,243.6858754,467.7688694,1,0
28,323,531,1,0
29,345,595,1,0
30,398,311,1,0
31,435,452,1,0
32,435,542,1,0
33,435.1746758,652.1525553,1,0
34,500,332,1,0
35,510,608,1,0
36,517,538,1,0
37,524.9731707,761.4195122,1,0
38,571,41,1,0
39,631.1140802,686.5693731,1,0
40,639,584,1,0
41,678,501,1,0
42,708.5,816,1,0
43,724,920,1,0
44,827.1447231,184.3333333,1,0
45,864.982243,761.5401869,1,0
46,890,704,1,0
47,77.80272634,201.3459362,2,0
48,148,417,2,0
49,196,102.5,2,0
50,244.0339463,464.5187412,2,0
51,323,531,2,0
52,347,592,2,0
53,398,310,2,0
54,433,451,2,0
55,433,652,2,0
56,441,538,2,0
57,500,332,2,0
58,510,607,2,0
59,517,538,2,0
60,527.5,758.5,2,0
61,570,40,2,0
62,634.5,684,2,0
63,641,583.5,2,0
64,678,500.5,2,0
65,709,816,2,0
66,724,917,2,0
67,826,183,2,0
68,864.837585,764.2708333,2,0
69,890,705,2,0
70,77.22666962,198.7295444,3,0
71,148,417,3,0
72,199,100,3,0
73,244.0585489,462.0366379,3,0
74,325,531,3,0
75,347,593,3,0
76,398.5,309,3,0
77,433.5,451,3,0
78,436,649.5,3,0
79,441,538,3,0
80,500.5,330.5,3,0
81,510,607,3,0
82,517,538,3,0
83,526.4022015,754.834039,3,0
84,570,40,3,0
85,633.1673028,687.1507634,3,0
86,641.61846,582.61846,3,0
87,678,500,3,0
88,710,816,3,0
89,724,917,3,0
90,830,183,3,0
91,868,765,3,0
92,890,705,3,0
93,80.95559742,200.7212056,4,0
94,143,416,4,0
95,203,99,4,0
96,242.7166998,459.6865474,4,0
97,325.5,531,4,0
98,343.280543,590.8545572,4,0
99,399.5,308.5,4,0
100,434,451,4,0
101,438.9047619,651.9569892,4,0
102,445,534,4,0
103,502,327,4,0
104,512.0331687,605.5638673,4,0
105,526,535,4,0
106,529.492467,761.4689266,4,0
107,570,40,4,0
108,638.1491525,685.6491525,4,0
109,642,582,4,0
110,679,500,4,0
111,710,816,4,0
112,723,915,4,0
113,831,185,4,0
114,870.5,763,4,0
115,890,705,4,0
116,78.73728603,197.535351,5,0
117,144,416,5,0
118,201.5,99,5,0
119,243.1951603,460.5735387,5,0
120,326,531,5,0
121,343.0609756,591.0257453,5,0
122,401,306,5,0
123,435,451,5,0
124,437.4304584,652.029526,5,0
125,445,534,5,0
126,502,327,5,0
127,515,604,5,0
128,526,535,5,0
129,531,760.5,5,0
130,570,40,5,0
131,637.0067568,687.0088358,5,0
132,642,583,5,0
133,682,499,5,0
134,708.5,816,5,0
135,721,914,5,0
136,831,185,5,0
137,867,763,5,0
138,893.4762887,707.7046392,5,0
139,75.87024864,200.5953129,6,0
140,144.5,416,6,0
141,201,99,6,0
142,244.5588235,464.5454248,6,0
143,325,531,6,0
144,341.6705471,597.072759,6,0
145,401,305,6,0
146,435,451,6,0
147,440,651,6,0
148,445,534,6,0
149,501.5,327,6,0
150,517.5,604,6,0
151,532.5,530,6,0
152,534,761.5,6,0
153,572.5,40,6,0
154,640.0074541,686.0097477,6,0
155,642,583,6,0
156,683,499,6,0
157,708,816,6,0
158,722,914,6,0
159,829,182,6,0
160,867.5,763,6,0
161,889.1850437,703.2767467,6,0
162,78.53219593,198.1755641,7,0
163,145,416,7,0
164,202.5,100,7,0
165,245.409379,458.9841572,7,0
166,323,530,7,0
167,343.6037196,594.5422031,7,0
168,400,305,7,0
